구분,한경1호기(kWh),한경2호기(kWh),한경3호기(kWh),한경5호기(kWh),한경6호기(kWh),한경7호기(kWh),한경8호기(kWh),한경9호기(kWh)
2019-04-05,1443,2276,1788,2928,3560,136,4632,4632
2019-04-06,3089,2809,3508,6464,6248,6040,7608,7608
2019-04-07,6745,5367,7135,14872,11064,12160,14328,14328
2019-04-08,2095,2775,1850,4640,1936,4904,5248,5248
2019-04-09,9903,7767,10695,14484,17888,18704,11720,11720
2019-04-10,13295,13897,12380,19540,21544,19800,21000,21000
2019-04-11,5776,5764,6041,13284,10712,12336,11352,11352
2019-04-12,5017,5937,3808,8204,2224,8064,10176,10176
2019-04-13,568,0,422,1236,0,1552,1391,1391
2019-04-14,11938,0,12494,19848,0,18880,23216,23216
2019-04-15,14921,1433,14750,25916,1592,25080,28952,28952
2019-04-16,1498,1452,1935,3296,528,4304,3576,3576
2019-04-17,426,495,329,1252,824,1088,1160,1160
2019-04-18,3322,2866,3465,7944,7096,7360,8712,8712
2019-04-19,1007,524,1035,2440,2136,2456,2216,2216
2019-04-20,1321,1199,389,2784,3648,3384,2432,2432
2019-04-21,58,271,357,1372,1088,1336,944,944
2019-04-22,412,903,1321,1856,2888,4040,2096,2096
2019-04-23,15014,14807,13238,28236,28944,29992,26208,26208
2019-04-24,1078,1621,1292,3572,2456,1584,3152,3152
2019-04-25,840,947,613,1708,1640,1848,2248,2248
2019-04-26,7375,28809,28934,41864,45224,37576,48232,48232
2019-04-27,9281,14195,12165,22860,20288,3160,21992,21992
2019-04-28,0,1793,1715,4284,4320,0,3360,3360
2019-04-29,4470,6824,5582,15488,12456,10376,9752,9752
2019-04-30,6524,9583,6429,15836,11264,13360,12864,12864
2019-05-01,8131,9425,6519,12168,10064,11032,16264,16264
2019-05-02,5550,6513,3977,8212,7416,9944,11744,11744
2019-05-03,201,370,172,548,480,840,1120,1120
2019-05-04,566,550,842,2812,2000,3632,2312,2312
2019-05-05,3289,0,3575,5984,3864,6048,6672,6672
2019-05-06,0,824,13252,26648,27856,25944,30120,30120
2019-05-07,509,4458,10282,19252,18552,15504,20296,20296
2019-05-08,338,665,332,1352,1512,2160,1880,1880
2019-05-09,1611,1839,1319,568,3016,2864,4040,4040
2019-05-10,64,273,192,1032,816,1424,1680,1680
2019-05-11,117,685,482,1796,1176,2048,1592,1592
2019-05-12,595,0,773,1416,1640,1800,1848,1848
2019-05-13,566,15,675,1224,1162,1672,1528,1528
2019-05-14,3181,2611,3640,7700,4616,7760,6600,6600
2019-05-15,151,287,297,648,736,1000,792,792
2019-05-16,9755,9687,9103,17156,12304,16032,13280,13280
2019-05-17,14805,14397,13578,29532,31864,31432,22096,22096
2019-05-18,0,0,25003,50060,48440,47704,39840,39840
2019-05-19,522,1144,20452,40360,40128,40712,37032,37032
2019-05-20,20910,21418,20399,39464,37936,39120,45864,45864
2019-05-21,3073,2449,2676,5080,5384,2648,5584,5584
2019-05-22,634,247,917,2964,3448,3344,3840,3840
2019-05-23,1703,420,1828,4392,6040,5024,6696,6696
2019-05-24,1856,1351,2669,5872,6864,6256,7928,7928
2019-05-25,3539,2299,4468,1244,1872,1160,1032,1032
2019-05-26,20959,22372,23700,45796,45904,44314,46376,46376
2019-05-27,15840,18310,18132,34164,33256,34936,42088,42088
2019-05-28,12027,10386,10893,20924,18400,18352,24192,24192
2019-05-29,51,74,0,204,600,384,688,688
2019-05-30,0,0,11,252,288,312,112,112
2019-05-31,1815,3298,2443,8720,5624,6328,3928,3928
2019-06-01,171,885,829,2248,1520,2944,1528,1528
2019-06-02,54,157,100,624,368,824,464,464
2019-06-03,87,36,123,604,344,712,440,440
2019-06-04,829,1431,1347,3908,2752,3072,2616,2616
2019-06-05,4,25,13,284,248,384,344,344
2019-06-06,19600,19878,18093,39072,34272,37816,39208,39208
2019-06-07,22571,16651,21518,41240,43064,41528,45192,45192
2019-06-08,3714,4005,3577,6304,6384,3560,6752,6752
2019-06-09,51,59,60,96,168,152,224,224
2019-06-10,30,0,28,616,752,448,776,776
2019-06-11,0,0,138,496,352,232,400,400
2019-06-12,541,0,551,2356,2048,2064,1048,1048
2019-06-13,201,0,322,984,760,1024,568,568
2019-06-14,9686,0,10548,22400,18752,21448,20304,20304
2019-06-15,10172,0,12204,18396,20416,17752,21304,21304
2019-06-16,10176,0,10782,16208,17464,12920,17616,17616
2019-06-17,304,0,698,1532,1752,1568,2264,2264
2019-06-18,2143,0,2294,3700,3824,5000,5168,5168
2019-06-19,1102,0,419,2924,2432,2632,2640,2640
2019-06-20,31,0,243,964,600,1472,1168,1168
2019-06-21,283,0,154,748,920,536,1184,1184
2019-06-22,733,0,307,1896,1480,2000,2256,2256
2019-06-23,2448,0,1814,5816,3432,4712,4592,4592
2019-06-24,178,0,86,672,800,104,840,840
2019-06-25,1909,0,2535,5500,4848,1960,4232,4232
2019-06-26,5137,0,5723,12232,9624,10856,10928,10928
2019-06-27,174,12,61,1100,944,632,1176,1176
2019-06-28,166,145,73,616,464,80,552,552
2019-06-29,18976,14667,18503,892,37272,0,42808,42808
2019-06-30,1317,0,1277,0,2864,0,3184,3184
2019-07-01,206,266,474,1208,1232,1248,1600,1600
2019-07-02,0,0,0,28,0,48,24,24
2019-07-03,304,676,365,1764,1192,1896,1336,1336
2019-07-04,200,314,61,840,792,848,1288,1288
2019-07-05,18,20,0,72,64,232,64,64
2019-07-06,1237,1401,1322,3804,3320,2712,3088,3088
2019-07-07,1066,51,2583,5228,6856,7224,4488,4488
2019-07-08,6649,10644,7642,24508,18960,13440,14184,14184
2019-07-09,5525,7034,5566,19000,14952,10824,7808,7808
2019-07-10,18846,16253,19461,45760,41672,36872,39760,39760
2019-07-11,6544,2017,4932,11324,11776,9808,12896,12896
2019-07-12,0,0,0,176,152,88,160,160
2019-07-13,1347,3188,2459,7296,4872,5896,4432,4432
2019-07-14,1271,1787,635,2848,1856,2688,3920,3920
2019-07-15,4,46,14,248,40,360,328,328
2019-07-16,172,188,27,612,344,408,624,624
2019-07-17,53,200,118,660,808,840,480,480
2019-07-18,2958,3197,3048,7224,6776,7024,5752,5752
2019-07-19,8001,7415,6604,15616,15632,17880,15536,15536
2019-07-20,17951,0,17390,32264,34072,37184,0,0
2019-07-21,7615,0,8023,10468,16520,14432,0,0
2019-07-22,4805,1696,6041,10260,10848,11008,0,0
2019-07-23,9023,7464,13493,22360,17408,22624,0,0
2019-07-24,9259,6668,13442,23084,16736,24192,10304,10304
2019-07-25,5961,4131,8267,15260,10712,15400,17080,17080
2019-07-26,9367,8022,13227,21120,11392,20808,24624,24624
2019-07-27,9655,796,14162,23264,18688,25192,26896,26896
2019-07-28,17598,0,22482,36744,32088,37920,38416,38416
2019-07-29,9214,5793,12061,21280,18264,20800,23584,23584
2019-07-30,12673,10715,16579,27112,12696,28112,27344,27344
2019-07-31,7009,6010,9065,15728,11768,16160,12432,12432
2019-08-01,1469,1070,1639,3328,2680,4224,5816,5816
2019-08-02,196,201,5,856,304,552,544,544
2019-08-03,861,807,673,2692,2656,2664,1488,1488
2019-08-04,553,563,411,1308,1640,1840,1104,1104
2019-08-05,1477,2095,1710,2932,3168,4280,2224,2224
2019-08-06,6188,4563,6288,16504,12096,13688,11880,11880
2019-08-07,765,682,727,2832,1864,2520,2736,2736
2019-08-08,6779,6693,5486,12336,11352,11472,9064,9064
2019-08-09,13332,8643,9176,23124,25056,23896,15928,15928
2019-08-10,2064,0,24087,2288,61056,64752,27720,27720
2019-08-11,19751,0,18930,36524,16624,18632,29368,29368
2019-08-12,21964,9003,0,28788,14728,18296,30496,30496
2019-08-13,1873,2829,1552,6376,3264,5920,4584,4584
2019-08-14,12014,14744,9788,20084,15656,14352,24400,24400
2019-08-15,24091,3983,20064,39936,40312,34024,42336,42336
2019-08-16,10842,6254,10025,18404,17680,7104,15688,15688
2019-08-17,908,1113,1023,2356,3232,2832,3704,3704
2019-08-18,1531,0,1257,4016,3848,4520,5408,5408
2019-08-19,384,382,465,3264,1856,3680,2792,2792
2019-08-20,352,1601,1217,4668,3064,2808,2232,2232
2019-08-21,7195,5574,8516,15124,13976,1800,15528,15528
2019-08-22,9271,1390,10405,17992,17352,0,22944,22944
2019-08-23,27,55,0,156,112,0,304,304
2019-08-24,239,463,225,1028,0,856,752,752
2019-08-25,80,102,65,836,0,416,536,536
2019-08-26,4831,4413,4734,9236,1280,9256,7680,7680
2019-08-27,8105,6664,10704,10168,19144,17264,10160,10160
2019-08-28,3052,3515,2863,5744,5928,4712,2824,2824
2019-08-29,1014,1081,1231,3036,2272,2704,144,144
2019-08-30,1638,1752,1353,2976,2488,1864,776,776
2019-08-31,0,0,0,256,192,312,32,32
2019-09-01,1007,0,682,0,1680,0,1656,1656
2019-09-02,2391,0,5164,11748,8976,7992,7408,7408
2019-09-03,1715,1727,1381,3088,3408,2824,1936,1936
2019-09-04,6470,6422,6236,13284,11224,12888,12576,12576
2019-09-05,6471,6024,5519,12428,9272,11280,10088,10088
2019-09-06,9294,5236,6976,17208,18936,20400,15432,15432
2019-09-07,914,1332,1610,1720,3504,2984,3680,3680
2019-09-08,1173,3079,2951,9000,7296,5280,4344,4344
2019-09-09,10128,9991,12592,23224,21104,21488,21656,21656
2019-09-10,5844,6743,9368,12768,11080,14112,17872,17872
2019-09-11,1771,2372,1761,4964,4008,4112,6360,6360
2019-09-12,1871,4875,3038,11736,7440,4704,5184,5184
2019-09-13,3031,3742,2163,10484,5272,4256,2984,2984
2019-09-14,5665,7974,6715,14516,11704,13104,11848,11848
2019-09-15,3535,4567,2783,7536,5792,6704,7768,7768
2019-09-16,2563,6127,5011,11176,9144,9896,9920,9920
2019-09-17,10810,10495,13109,30752,25096,21960,19472,19472
2019-09-18,14301,12514,14080,23704,6672,22304,28280,28280
2019-09-19,9363,7693,12276,25912,0,21584,21224,21224
2019-09-20,18371,18099,20814,44228,0,35472,39176,39176
2019-09-21,21098,5745,20774,0,0,38920,39992,39992
2019-09-22,0,0,0,0,0,0,0,0
2019-09-23,9572,4610,10500,15104,0,15152,17696,17696
2019-09-24,2568,320,1651,5264,0,4736,6368,6368
2019-09-25,2441,3488,3549,9028,0,7496,6272,6272
2019-09-26,6121,10293,8765,20408,0,7096,15256,15256
2019-09-27,69,15,99,1004,0,336,448,448
2019-09-28,473,1018,702,1928,0,1624,976,976
2019-09-29,1018,1716,949,3452,0,3640,2728,2728
2019-09-30,7,75,7,528,0,624,272,272
2019-10-01,8431,5971,7513,16404,0,14888,14384,14384
2019-10-02,19861,8920,20101,33068,0,27728,30200,30200
2019-10-03,8846,13777,24219,3500,0,42720,3512,3512
2019-10-04,1164,1288,1169,2412,0,2680,160,160
2019-10-05,15777,11148,17336,0,25952,26912,11752,11752
2019-10-06,0,0,4422,0,5928,7680,0,0
2019-10-07,10171,11933,14063,17580,0,16664,8536,8536
2019-10-08,20680,21191,20911,30264,0,30776,35632,35632
2019-10-09,7146,6177,8020,16212,0,16016,14384,14384
2019-10-10,0,2,0,104,0,128,168,168
2019-10-11,4382,6432,5036,10604,0,10872,9136,9136
2019-10-12,5593,7955,8223,16916,0,15480,10848,10848
2019-10-13,15338,8312,12178,12584,0,21384,15768,15768
2019-10-14,19371,15659,11555,30976,0,32360,35136,35136
2019-10-15,22373,17191,14233,40520,0,36328,37744,37744
2019-10-16,11515,10216,10026,11404,0,18072,12432,12432
2019-10-17,8629,9849,7511,11412,0,16328,13208,13208
2019-10-18,16610,16682,20052,42128,0,34328,31664,31664
2019-10-19,12457,13994,8486,18624,0,16392,23400,23400
2019-10-20,4400,6092,5389,12296,0,11720,7792,7792
2019-10-21,8255,10641,11049,23968,0,21032,0,0
2019-10-22,5912,7422,7078,16120,0,13968,0,0
2019-10-23,13638,13548,15952,36112,0,27568,0,0
2019-10-24,15420,19350,17850,35796,0,30792,0,0
2019-10-25,13329,15043,10678,19852,0,16488,0,0
2019-10-26,12891,21797,26951,48264,0,50920,0,0
2019-10-27,0,0,13649,26520,0,27144,0,0
2019-10-28,0,0,780,2064,0,2104,0,0
2019-10-29,7886,4212,7922,12052,0,12216,13104,13104
2019-10-30,5642,6606,5227,9268,0,9000,6024,6024
2019-10-31,324,549,328,1336,0,1560,0,0
2019-11-01,2042,2820,2044,4628,4504,856,0,0
2019-11-02,0,461,463,2272,0,1408,776,776
2019-11-03,4012,4785,3241,7816,0,0,8488,8488
2019-11-04,533,1427,1222,3104,0,312,2208,2208
2019-11-05,4200,4645,3418,8800,0,4872,8296,8296
2019-11-06,2387,3521,2464,6300,0,3352,6344,6344
2019-11-07,18555,19264,14266,29320,0,27864,24104,24104
2019-11-08,22454,15178,18485,35900,0,35504,43112,43112
2019-11-09,21085,22192,19068,0,0,32184,26160,26160
2019-11-10,14362,12644,14878,23484,0,26576,27776,27776
2019-11-11,28109,22101,25281,47980,0,40768,48488,48488
2019-11-12,4382,5259,3443,8424,0,7808,8992,8992
2019-11-13,6500,7332,6749,14348,0,12496,13736,13736
2019-11-14,22509,22611,22441,34332,0,43488,44288,44288
2019-11-15,1152,846,1660,2768,0,3640,4248,4248
2019-11-16,1132,1496,1573,3276,0,2104,4968,4968
2019-11-17,18345,18080,20210,38504,0,0,39640,39640
2019-11-18,35691,36140,35124,44212,0,37792,68800,68800
2019-11-19,30544,30411,30867,35940,0,55272,58880,58880
2019-11-20,14486,16348,15344,17796,0,25400,19592,19592
2019-11-21,3389,2042,4483,12496,0,8720,4152,4152
2019-11-22,439,117,795,1760,0,1792,1248,1248
2019-11-23,425,356,194,0,0,616,688,688
2019-11-24,10016,9951,9170,15792,0,18808,18632,18632
2019-11-25,32414,32561,32102,59928,0,59432,62160,62160
2019-11-26,11802,10715,15236,33664,0,26504,21296,21296
2019-11-27,33461,34679,32889,60340,0,55056,62720,62720
2019-11-28,21628,25587,23645,31728,0,35880,45144,45144
2019-11-29,12129,18046,16583,29260,0,26104,27472,27472
2019-11-30,1255,1253,1664,4472,12,4432,4368,4368
2019-12-01,11339,13326,13708,27192,26170,25136,23064,23064
2019-12-02,32024,31680,31151,60012,11885,59048,62296,62296
2019-12-03,12191,16431,15756,24884,2710,20928,27368,27368
2019-12-04,10569,11015,9130,7008,15093,0,17168,17168
2019-12-05,25645,26521,21845,0,42387,0,49144,49144
2019-12-06,32251,26865,31009,0,51254,15440,56648,56648
2019-12-07,21788,24099,19513,0,30264,36320,39616,39616
2019-12-08,10369,2238,8757,0,17144,16080,18664,18664
2019-12-09,188,444,365,0,1263,1368,1920,1920
2019-12-10,1835,3115,3446,0,6829,6832,8008,8008
2019-12-11,15799,12346,11793,17404,28549,25984,29864,29864
2019-12-12,14041,16962,8501,24988,25336,27776,28520,28520
2019-12-13,1043,282,2355,4196,4351,4392,1800,1800
2019-12-14,9957,11364,9458,18736,16543,16176,19256,19256
2019-12-15,1735,2148,2844,8088,6958,32,3904,3904
2019-12-16,3207,5524,5750,11804,12493,4120,10536,10536
2019-12-17,17940,19600,15533,31064,26926,31528,35192,35192
2019-12-18,20311,21811,19225,38820,32864,38792,42264,42264
2019-12-19,26728,28304,24137,53624,48283,53640,60096,60096
2019-12-20,14436,15959,10925,21416,16935,19320,18656,18656
2019-12-21,7642,3552,11744,25632,22420,19816,13960,13960
2019-12-22,12970,2368,15990,33704,30302,26512,19736,19736
2019-12-23,13278,14068,6262,20340,15662,18328,14048,14048
2019-12-24,5430,8437,8699,18676,15137,18104,14784,14784
2019-12-25,3333,5577,5413,13376,10591,10280,7504,7504
2019-12-26,21386,17957,22923,46508,20849,44544,44544,44544
2019-12-27,26677,27806,26613,46308,5935,47608,49640,49640
2019-12-28,1760,2094,1070,4132,3213,3208,3776,3776
2019-12-29,14299,13055,11631,25820,26219,25080,20552,20552
2019-12-30,18545,19046,17193,32880,22775,32744,34592,34592
2019-12-31,26680,23990,34246,66484,22393,64208,68344,68344
2020-01-01,31775,32843,32663,0,53636,54572,47612,57556
2020-01-02,26336,28699,24246,0,40796,37344,39552,47488
2020-01-03,13791,19452,14995,0,30272,25540,29980,29988
2020-01-04,1583,4182,2855,0,10752,9728,10656,8136
2020-01-05,27342,30266,26574,0,49590,44294,45950,51190
2020-01-06,25367,27471,21337,0,40280,35144,37280,18392
2020-01-07,17777,22177,17602,0,32352,29088,31240,0
2020-01-08,24545,33222,30144,0,52942,50254,51510,8838
2020-01-09,16982,18882,17979,0,35720,32344,34432,32680
2020-01-10,12945,14825,10890,0,19932,16064,13264,23968
2020-01-11,8271,9291,7532,0,11456,13048,13136,13584
2020-01-12,13752,15669,10459,0,21184,16960,19248,25832
2020-01-13,19553,21644,15054,0,30588,23496,28328,36200
2020-01-14,10712,11959,8791,0,17184,10480,15384,19016
2020-01-15,22212,23284,21760,0,37884,37688,38976,40544
2020-01-16,29332,31342,27726,0,48520,44496,48208,53464
2020-01-17,21385,22249,20953,0,31792,31008,27624,34344
2020-01-18,5615,6417,4689,0,10196,8432,10088,11584
2020-01-19,827,11995,11693,0,16696,17056,19656,19632
2020-01-20,0,34457,32634,0,1896,61760,61576,28248
2020-01-21,7509,22965,22213,0,16356,35008,32920,0
2020-01-22,8598,8563,8397,0,13588,13496,11168,0
2020-01-23,12988,13400,11894,0,19752,17808,16912,12160
2020-01-24,19721,11519,16618,0,31024,28432,29480,35680
2020-01-25,19013,15136,20057,0,36884,35712,37848,37776
2020-01-26,35697,35368,34718,0,51496,65504,66120,69280
2020-01-27,10774,11521,8350,0,16676,14128,14560,18968
2020-01-28,24190,24714,21024,0,40352,38032,32792,39296
2020-01-29,8908,9650,8695,0,17288,14800,15808,15640
2020-01-30,2399,2966,1521,0,4620,4088,4120,5928
2020-01-31,28512,29972,30038,0,60612,59912,60728,56064
2020-02-01,24199,24665,17845,0,40872,41904,37368,43072
2020-02-02,10971,8534,12166,0,23284,18872,21456,22472
2020-02-03,28691,30140,29525,0,50828,51024,52376,56248
2020-02-04,24914,25555,24641,0,43532,41944,42088,43088
2020-02-05,1659,674,1823,0,5152,4600,4808,1624
2020-02-06,0,248,174,0,608,600,336,624
2020-02-07,0,25007,24897,0,48124,47872,47600,48800
2020-02-08,3312,30139,27824,0,51204,49912,49216,50584
2020-02-09,0,34283,31382,0,61812,55808,61112,64736
2020-02-10,0,23156,19838,0,35856,32528,35792,37352
2020-02-11,4695,31643,28759,0,50872,49136,48480,55256
2020-02-12,5936,9919,12153,0,21728,18200,11744,14336
2020-02-13,23841,26386,23685,0,43796,40664,42848,43048
2020-02-14,174,14896,16081,0,26972,25328,27264,24224
2020-02-15,13552,15554,8703,0,22356,17952,21728,26784
2020-02-16,35250,36072,35576,0,47884,46752,82696,87592
2020-02-17,27101,30027,27621,0,0,0,82896,91296
2020-02-18,3806,4219,5327,0,10268,0,10656,9144
2020-02-19,19230,0,21450,0,34160,0,34904,36256
2020-02-20,15761,0,16105,0,25048,0,22440,29544
2020-02-21,14983,0,15273,0,29448,0,29520,30600
2020-02-22,8328,6491,10049,0,17000,1944,16128,18232
2020-02-23,10678,11814,9964,0,17668,16,15104,19776
2020-02-24,3010,3301,1918,0,5816,4264,4512,5720
2020-02-25,18184,19086,15354,0,25984,23480,27176,34624
2020-02-26,19132,20797,17604,0,32356,30912,31616,32272
2020-02-27,2975,5965,6256,0,14624,11968,12120,7880
2020-02-28,24426,26033,19684,0,39112,32968,32616,41600
2020-02-29,16213,18398,13899,0,25872,21928,22960,29568
2020-03-01,254,619,1028,0,3048,2584,3464,1712
2020-03-02,12452,10658,9426,0,48,19152,17000,13384
2020-03-03,25818,27672,24383,0,14992,38488,39144,46296
2020-03-04,2369,2975,4194,0,8964,7024,8824,4704
2020-03-05,17191,21436,21615,0,38148,37320,34352,34240
2020-03-06,33291,34993,33922,0,59996,56840,58608,64264
2020-03-07,2777,3461,2166,0,5268,4920,5128,5640
2020-03-08,6031,6262,5531,0,12844,13840,13392,9440
2020-03-09,21394,23823,20767,0,42196,36112,40040,41648
2020-03-10,18855,18672,18923,0,32704,31144,29496,34136
2020-03-11,21467,25207,25700,0,44944,37248,40224,46104
2020-03-12,20529,20581,17000,0,34512,26736,31888,34584
2020-03-13,14492,15303,16019,0,34600,34696,34928,35792
2020-03-14,20602,21998,21538,0,37288,36096,36360,38664
2020-03-15,14344,17054,15623,0,22392,23320,24656,29048
2020-03-16,11594,14755,12124,0,21720,17136,20808,22064
2020-03-17,1410,1416,1894,0,5040,3408,4176,3432
2020-03-18,2684,3726,2295,0,5376,4440,5496,7272
2020-03-19,24417,24675,23712,0,47280,40344,46464,44568
2020-03-20,29717,31052,29395,0,53020,49504,51960,56672
2020-03-21,36077,35416,33737,0,52948,47592,49576,53992
2020-03-22,31616,32286,22331,0,38120,54144,24352,59616
2020-03-23,8640,9567,0,0,2128,12192,0,16104
2020-03-24,447,820,301,0,1244,1872,1160,1032
2020-03-25,7959,7867,7692,0,12604,12192,5624,408
2020-03-26,2982,9788,12866,0,19920,20816,20128,20616
2020-03-27,0,3321,2524,0,5684,4808,4880,5352
2020-03-28,903,1189,791,0,3199,3665,1580,0
2020-03-29,9698,13271,12559,0,20200,4808,20448,21096
2020-03-30,8199,8665,8557,0,14100,0,14432,15312
2020-03-31,18245,18315,18221,0,27564,11638,25336,26752
2020-04-01,5245,5463,3408,0,5988,8032,7376,9984
2020-04-02,10312,10553,8797,0,2112,16616,18240,15032
2020-04-03,651,1226,983,0,1408,1648,288,2792
2020-04-04,1443,2276,1788,0,2928,3560,136,4632
2020-04-05,3089,2809,3508,0,6464,6248,6040,7608
2020-04-06,6745,5367,7135,0,14872,11064,12160,14328
2020-04-07,2095,2775,1850,0,4640,1936,4904,5248
2020-04-08,9903,7767,10695,0,14484,17888,18704,11720
2020-04-09,13295,13897,12380,0,19540,21544,19800,21000
2020-04-10,5776,5764,6041,0,13284,10712,12336,11352
2020-04-11,5017,5937,3808,0,8204,2224,8064,10176
2020-04-12,568,0,422,0,1236,0,1552,1391
2020-04-13,11938,0,12494,0,19848,0,18880,23216
2020-04-14,14921,1433,14750,0,25916,1592,25080,28952
2020-04-15,1498,1452,1935,0,3296,528,4304,3576
2020-04-16,426,495,329,0,1252,824,1088,1160
2020-04-17,3322,2866,3465,0,7944,7096,7360,8712
2020-04-18,1007,524,1035,0,2440,2136,2456,2216
2020-04-19,1321,1199,389,0,2784,3648,3384,2432
2020-04-20,58,271,357,0,1372,1088,1336,944
2020-04-21,412,903,1321,0,1856,2888,4040,2096
2020-04-22,15014,14807,13238,0,28236,28944,29992,26208
2020-04-23,1078,1621,1292,0,3572,2456,1584,3152
2020-04-24,840,947,613,0,1708,1640,1848,2248
2020-04-25,7375,28809,28934,0,41864,45224,37576,48232
2020-04-26,9281,14195,12165,0,22860,20288,3160,21992
2020-04-27,0,1793,1715,0,4284,4320,0,3360
2020-04-28,4470,6824,5582,0,15488,12456,10376,9752
2020-04-29,6524,9583,6429,0,15836,11264,13360,12864
2020-04-30,8131,9425,6519,0,12168,10064,11032,16264
2020-05-01,5550,6513,3977,0,8212,7416,9944,11744
2020-05-02,201,370,172,0,548,480,840,1120
2020-05-03,566,550,842,0,2812,2000,3632,2312
2020-05-04,3289,0,3575,0,5984,3864,6048,6672
2020-05-05,0,824,13252,0,26648,27856,25944,30120
2020-05-06,509,4458,10282,0,19252,18552,15504,20296
2020-05-07,338,665,332,0,1352,1512,2160,1880
2020-05-08,1611,1839,1319,0,568,3016,2864,4040
2020-05-09,64,273,192,0,1032,816,1424,1680
2020-05-10,117,685,482,0,1796,1176,2048,1592
2020-05-11,595,0,773,0,1416,1640,1800,1848
2020-05-12,566,15,675,0,1224,1162,1672,1528
2020-05-13,3181,2611,3640,0,7700,4616,7760,6600
2020-05-14,151,287,297,0,648,736,1000,792
2020-05-15,9755,9687,9103,0,17156,12304,16032,13280
2020-05-16,14805,14397,13578,0,29532,31864,31432,22096
2020-05-17,0,0,25003,0,50060,48440,47704,39840
2020-05-18,522,1144,20452,0,40360,40128,40712,37032
2020-05-19,20910,21418,20399,0,39464,37936,39120,45864
2020-05-20,3073,2449,2676,0,5080,5384,2648,5584
2020-05-21,634,247,917,0,2964,3448,3344,3840
2020-05-22,1703,420,1828,0,4392,6040,5024,6696
2020-05-23,1856,1351,2669,0,5872,6864,6256,7928
2020-05-24,3539,2299,4468,0,1244,1872,1160,1032
2020-05-25,20959,22372,23700,0,45796,45904,44314,46376
2020-05-26,15840,18310,18132,0,34164,33256,34936,42088
2020-05-27,12027,10386,10893,0,20924,18400,18352,24192
2020-05-28,51,74,0,0,204,600,384,688
2020-05-29,0,0,11,0,252,288,312,112
2020-05-30,1815,3298,2443,0,8720,5624,6328,3928
2020-05-31,171,885,829,0,2248,1520,2944,1528
2020-06-01,54,157,100,0,624,368,824,464
2020-06-02,87,36,123,0,604,344,712,440
2020-06-03,829,1431,1347,0,3908,2752,3072,2616
2020-06-04,4,25,13,0,284,248,384,344
2020-06-05,19600,19878,18093,0,39072,34272,37816,39208
2020-06-06,22571,16651,21518,0,41240,43064,41528,45192
2020-06-07,3714,4005,3577,0,6304,6384,3560,6752
2020-06-08,51,59,60,0,96,168,152,224
2020-06-09,30,0,28,0,616,752,448,776
2020-06-10,0,0,138,0,496,352,232,400
2020-06-11,541,0,551,0,2356,2048,2064,1048
2020-06-12,201,0,322,0,984,760,1024,568
2020-06-13,9686,0,10548,0,22400,18752,21448,20304
2020-06-14,10172,0,12204,0,18396,20416,17752,21304
2020-06-15,10176,0,10782,0,16208,17464,12920,17616
2020-06-16,304,0,698,0,1532,1752,1568,2264
2020-06-17,2143,0,2294,0,3700,3824,5000,5168
2020-06-18,1102,0,419,0,2924,2432,2632,2640
2020-06-19,31,0,243,0,964,600,1472,1168
2020-06-20,283,0,154,0,748,920,536,1184
2020-06-21,733,0,307,0,1896,1480,2000,2256
2020-06-22,2448,0,1814,0,5816,3432,4712,4592
2020-06-23,178,0,86,0,672,800,104,840
2020-06-24,1909,0,2535,0,5500,4848,1960,4232
2020-06-25,5137,0,5723,0,12232,9624,10856,10928
2020-06-26,174,12,61,0,1100,944,632,1176
2020-06-27,166,145,73,0,616,464,80,552
2020-06-28,18976,14667,18503,0,892,37272,0,42808
2020-06-29,1317,0,1277,0,0,2864,0,3184
2020-06-30,206,266,474,0,1208,1232,1248,1600
2020-07-01,0,0,0,0,28,0,48,24
2020-07-02,304,676,365,0,1764,1192,1896,1336
2020-07-03,200,314,61,0,840,792,848,1288
2020-07-04,18,20,0,0,72,64,232,64
2020-07-05,1237,1401,1322,0,3804,3320,2712,3088
2020-07-06,1066,51,2583,0,5228,6856,7224,4488
2020-07-07,6649,10644,7642,0,24508,18960,13440,14184
2020-07-08,5525,7034,5566,0,19000,14952,10824,7808
2020-07-09,18846,16253,19461,0,45760,41672,36872,39760
2020-07-10,6544,2017,4932,0,11324,11776,9808,12896
2020-07-11,0,0,0,0,176,152,88,160
2020-07-12,1347,3188,2459,0,7296,4872,5896,4432
2020-07-13,1271,1787,635,0,2848,1856,2688,3920
2020-07-14,4,46,14,0,248,40,360,328
2020-07-15,172,188,27,0,612,344,408,624
2020-07-16,53,200,118,0,660,808,840,480
2020-07-17,2958,3197,3048,0,7224,6776,7024,5752
2020-07-18,8001,7415,6604,0,15616,15632,17880,15536
2020-07-19,17951,0,17390,0,32264,34072,37184,0
2020-07-20,7615,0,8023,0,10468,16520,14432,0
2020-07-21,4805,1696,6041,0,10260,10848,11008,0
2020-07-22,9023,7464,13493,0,22360,17408,22624,0
2020-07-23,9259,6668,13442,0,23084,16736,24192,10304
2020-07-24,5961,4131,8267,0,15260,10712,15400,17080
2020-07-25,9367,8022,13227,0,21120,11392,20808,24624
2020-07-26,9655,796,14162,0,23264,18688,25192,26896
2020-07-27,17598,0,22482,0,36744,32088,37920,38416
2020-07-28,9214,5793,12061,0,21280,18264,20800,23584
