구분,한경1호기(kWh),한경2호기(kWh),한경3호기(kWh),한경5호기(kWh),한경6호기(kWh),한경7호기(kWh),한경8호기(kWh),한경9호기(kWh)
2018-04-17,1451,1138,914,0,1140,192,2624,2328
2018-04-18,0,0,0,0,0,0,88,128
2018-04-19,40,38,8,0,200,0,264,0
2018-04-20,631,537,527,0,1360,472,1296,1296
2018-04-21,13487,11206,13684,0,26472,16772,24304,26096
2018-04-22,14407,13985,13414,0,26500,19948,27240,13776
2018-04-23,18014,16573,18289,0,36072,27292,33496,12456
2018-04-24,12023,8361,11913,0,20684,17928,21040,22568
2018-04-25,291,335,280,0,556,644,552,768
2018-04-26,0,25,0,0,192,148,432,288
2018-04-27,425,398,0,0,1304,1496,576,1456
2018-04-28,270,0,0,0,452,804,640,864
2018-04-29,4429,0,0,0,8924,6684,8568,10768
2018-04-30,15431,0,0,0,33512,25584,31088,32192
2018-05-01,0,0,0,0,9924,8748,9696,9680
2018-05-02,10467,0,8858,0,28500,27636,27456,28760
2018-05-03,25738,0,23708,0,47568,46840,42232,47056
2018-05-04,7333,0,4307,0,12608,11016,9296,13096
2018-05-05,18533,0,19608,0,36508,31252,35128,37256
2018-05-06,19824,0,21044,0,37268,40008,39736,43016
2018-05-07,9118,0,11117,0,26240,17084,18808,20296
2018-05-08,17114,0,15573,0,38680,31148,30168,30576
2018-05-09,5251,0,5381,0,14412,11164,11352,8968
2018-05-10,747,0,1236,0,3732,3076,2928,1680
2018-05-11,4420,0,1680,0,9704,5324,9840,9680
2018-05-12,24650,0,0,0,49560,52236,49024,53504
2018-05-13,4699,0,0,0,8488,10928,9744,11976
2018-05-14,3558,0,3216,0,8060,4912,6392,8776
2018-05-15,16949,0,17934,0,32480,19284,32008,36952
2018-05-16,26634,0,25912,0,59840,58408,58408,58952
2018-05-17,23631,0,26354,0,51728,43000,40440,47296
2018-05-18,3972,0,4372,0,7432,9504,8336,7064
2018-05-19,5203,0,3969,0,11736,7708,6512,0
2018-05-20,4253,0,3913,0,13804,0,6496,0
2018-05-21,2180,0,4987,0,12144,6544,6184,8
2018-05-22,10706,0,10402,0,7324,14096,19008,19816
2018-05-23,24957,0,25047,0,7180,49144,44600,51096
2018-05-24,1156,0,959,0,2720,2636,2760,3400
2018-05-25,3149,0,801,0,6112,6244,5776,6736
2018-05-26,1415,0,1287,0,2116,2976,2040,2376
2018-05-27,357,0,397,0,0,0,0,1328
